=	v-w1f1	=-001
bydlívat	v-w240f1	bydlívat-001
bádat	v-w107f1	bádat-001
básnit	v-w125f1	básnit-001
bát se	v-w127f1	bát se-002
bát se	v-w127f2	bát se-001
bít	v-w150f1	bít-001
bít	v-w150f2	bít-002
bít	v-w150f3_ZU	bít-003
bít	v-w150f4_ZU	bít-004
být	v-w243f5	být-041
být	v-w243f6	být-017
být	v-w243f8	být-032
být	v-w243f9	být-038
být	v-w243f10	být-012
být	v-w243f12	být-024
být	v-w243f13	být-018
být	v-w243f15	být-054
být	v-w243f16	být-009
být	v-w243f17	být-019
být	v-w243f18	být-014
být	v-w243f19	být-061
být	v-w243f20	být-043
být	v-w243f22	být-002
být	v-w243f23	být-062
být	v-w243f24	být-049
být	v-w243f25	být-005
být	v-w243f26	být-010
být	v-w243f27	být-060
být	v-w243f28	být-036
být	v-w243f29	být-039
být	v-w243f30	být-059
být	v-w243f32	být-052
být	v-w243f33	být-057
být	v-w243f34	být-016
být	v-w243f35	být-037
být	v-w243f36	být-023
být	v-w243f37	být-048
být	v-w243f38	být-042
být	v-w243f39	být-078
být	v-w243f40	být-050
být	v-w243f41	být-056
být	v-w243f42	být-051
být	v-w243f43	být-025
být	v-w243f44	být-053
být	v-w243f45	být-058
být	v-w243f46	být-044
být	v-w243f47	být-003
být	v-w243f48	být-055
být	v-w243f49	být-047
být	v-w243f50	být-045
být	v-w243f51	být-040
být	v-w243f52	být-046
být	v-w243f53	být-013
být	v-w243f54	být-015
být	v-w243f55_ZU	být-071
být	v-w243f57_ZU	být-029
být	v-w243hsa_58	být-104
být	v-w243hsa_59	být-105
být	v-w243f59_ZU	být-064
být	v-w243f31	být-064	substituted with v-w243f59_ZU
být	v-w243hsa_60	být-076
být	v-w243f70_ZU	být-076	substituted with v-w243hsa_60
být	v-w243f60_ZU	být-074
být	v-w243hsa_61	být-106
být	v-w243f61_ZU	být-027
být	v-w243hsa_62	být-107
být	v-w243hsa_63	být-108
být	v-w243f64_ZU	být-068
být	v-w243hsa_64	být-109
být	v-w243f65_ZU	být-008
být	v-w243f68_ZU	být-067
být	v-w243f69_ZU	být-077
být	v-w243f71_ZU	být-075
být	v-w243f74_ZU	být-069
být	v-w243f77_ZU	být-063
být	v-w243f79_ZU	být-110	obsolete
být	v-w243hsa_80	být-001
být	v-w243f21	být-001	substituted with v-w243hsa_80
být	v-w243hsa_81	být-079
být	v-w243hsa_83	být-081
být	v-w243f83_ZU	být-111	obsolete
být	v-w243f76_ZU	být-111	substituted with v-w243f83_ZU
být	v-w243f85_ZU	být-073
být	v-w243hsa_85	být-112	obsolete
být	v-w243f87_ZU	být-034
být	v-w243f81_ZU	být-034	substituted with v-w243f87_ZU
být	v-w243f86_ZU	být-034	substituted with v-w243f87_ZU
být	v-w243f88_ZU	být-065
být	v-w243hsa_88	být-113	obsolete
být	v-w243f89_ZU	být-070
být	v-w243f73_ZU	být-070	substituted with v-w243f89_ZU
být	v-w243f91_ZU	být-072
být	v-w243f92_ZU	být-035
být	v-w243f94_ZU	být-033
být	v-w243f93_ZU	být-033	substituted with v-w243f94_ZU
být	v-w243f95_ZU	být-031
být	v-w243f14	být-031	substituted with v-w243f95_ZU
být	v-w243f96_ZU	být-030
být	v-w243f11	být-030	substituted with v-w243f96_ZU
být	v-w243f97_ZU	být-101
být	v-w243f98_ZU	být-093
být	v-w243hsa_99	být-093	substituted with v-w243f98_ZU
být	v-w243f99_ZU	být-085
být	v-w243hsa_91	být-085	substituted with v-w243f99_ZU
být	v-w243hsa_100	být-094
být	v-w243f101_ZU	být-082
být	v-w243hsa_86	být-082	substituted with v-w243f101_ZU
být	v-w243f102_ZU	být-083
být	v-w243hsa_89	být-083	substituted with v-w243f102_ZU
být	v-w243f103_ZU	být-084
být	v-w243hsa_90	být-084	substituted with v-w243f103_ZU
být	v-w243f104_ZU	být-086
být	v-w243hsa_92	být-086	substituted with v-w243f104_ZU
být	v-w243f105_ZU	být-087
být	v-w243hsa_93	být-087	substituted with v-w243f105_ZU
být	v-w243f106_ZU	být-088
být	v-w243hsa_94	být-088	substituted with v-w243f106_ZU
být	v-w243f107_ZU	být-089
být	v-w243hsa_95	být-089	substituted with v-w243f107_ZU
být	v-w243f108_ZU	být-102
být	v-w243f109_ZU	být-091
být	v-w243hsa_97	být-091	substituted with v-w243f109_ZU
být	v-w243f110_ZU	být-103
být	v-w243f111_ZU	být-092
být	v-w243hsa_98	být-092	substituted with v-w243f111_ZU
být	v-w243f112_ZU	být-099
být	v-w243hsa_106	být-099	substituted with v-w243f112_ZU
být	v-w243f113_ZU	být-100
být	v-w243hsa_107	být-100	substituted with v-w243f113_ZU
být	v-w243f114_ZU	být-098
být	v-w243hsa_104	být-098	substituted with v-w243f114_ZU
být	v-w243f115_ZU	být-095
být	v-w243hsa_101	být-095	substituted with v-w243f115_ZU
být	v-w243f116_ZU	být-096
být	v-w243hsa_102	být-096	substituted with v-w243f116_ZU
být	v-w243f117_ZU	být-097
být	v-w243hsa_103	být-097	substituted with v-w243f117_ZU
být	v-w243f118_ZU	být-022
být	v-w243f72_ZU	být-022	substituted with v-w243f118_ZU
být	v-w243f75_ZU	být-022	substituted with v-w243f118_ZU
být	v-w243f120_ZU	být-090
být	v-w243hsa_96	být-090	substituted with v-w243f120_ZU
být	v-w243f122_ZU	být-026
být	v-w243f62_ZU	být-026	substituted with v-w243f122_ZU
být	v-w243f63_ZU	být-026	substituted with v-w243f122_ZU
být	v-w243f100_ZU	být-026	substituted with v-w243f122_ZU
být	v-w243f121_ZU	být-026	substituted with v-w243f122_ZU
být	v-w243f123_ZU	být-080
být	v-w243hsa_82	být-080	substituted with v-w243f123_ZU
být	v-w243f125_ZU	být-021
být	v-w243f4	být-021	substituted with v-w243f125_ZU
být	v-w243f58_ZU	být-021	substituted with v-w243f125_ZU
být	v-w243hsa_84	být-021	substituted with v-w243f125_ZU
být	v-w243f127_ZU	být-028
být	v-w243f66_ZU	být-028	substituted with v-w243f127_ZU
být	v-w243f67_ZU	být-028	substituted with v-w243f127_ZU
být	v-w243f82_ZU	být-028	substituted with v-w243f127_ZU
být	v-w243f126_ZU	být-028	substituted with v-w243f127_ZU
být	v-w243f128_ZU	být-114
být	v-w243hsa_87	být-114	substituted with v-w243f128_ZU
být	v-w243f129_ZU	být-115
být	v-w243hsa_105	být-115	substituted with v-w243f129_ZU
být	v-w243f130_ZU	být-116
být	v-w243hsa_65	být-116	substituted with v-w243f130_ZU
být	v-w243f131_ZU	být-117
být	v-w243hsa_66	být-117	substituted with v-w243f131_ZU
být	v-w243f132_ZU	být-118
být	v-w243hsa_68	být-118	substituted with v-w243f132_ZU
být	v-w243f133_ZU	být-119
být	v-w243hsa_69	být-119	substituted with v-w243f133_ZU
být	v-w243f134_ZU	být-120
být	v-w243hsa_70	být-120	substituted with v-w243f134_ZU
být	v-w243f135_ZU	být-121
být	v-w243hsa_74	být-121	substituted with v-w243f135_ZU
být	v-w243f137_ZU	být-004
být	v-w243f78_ZU	být-004	substituted with v-w243f137_ZU
být	v-w243f84_ZU	být-004	substituted with v-w243f137_ZU
být	v-w243f119_ZU	být-004	substituted with v-w243f137_ZU
být	v-w243f136_ZU	být-004	substituted with v-w243f137_ZU
být	v-w243f139_ZU	být-122
být	v-w243hsa_73	být-122	substituted with v-w243f139_ZU
být	v-w243f140_ZU	být-123
být	v-w243hsa_71	být-123	substituted with v-w243f140_ZU
být	v-w243f141_ZU	být-124
být	v-w243hsa_75	být-124	substituted with v-w243f141_ZU
být	v-w243f142_ZU	být-125
být	v-w243hsa_76	být-125	substituted with v-w243f142_ZU
být	v-w243f143_ZU	být-126
být	v-w243hsa_77	být-126	substituted with v-w243f143_ZU
být	v-w243f144_ZU	být-127
být	v-w243hsa_78	být-127	substituted with v-w243f144_ZU
být	v-w243f145_ZU	být-128
být	v-w243hsa_79	být-128	substituted with v-w243f145_ZU
být	v-w243f146_ZU	být-129
být	v-w243hsb_80	být-129	substituted with v-w243f146_ZU
být	v-w243f147_ZU	být-130
být	v-w243hsb_81	být-130	substituted with v-w243f147_ZU
být	v-w243f148_ZU	být-131
být	v-w243hsb_82	být-131	substituted with v-w243f148_ZU
být	v-w243f149_ZU	být-132
být	v-w243hsb_83	být-132	substituted with v-w243f149_ZU
být	v-w243f151_ZU	být-133
být	v-w243hsa_67	být-133	substituted with v-w243f151_ZU
být	v-w243f150_ZU	být-133	substituted with v-w243f151_ZU
být	v-w243f153_ZU	být-134
být	v-w243f154_ZU	být-135
být	v-w243f155_ZU	být-136
být	v-w243f156_ZU	být-137
být	v-w243f152_ZU	být-137	substituted with v-w243f156_ZU
být	v-w243f159_ZU	být-138
být	v-w243f160_ZU	být-139
být	v-w243f161_ZU	být-140
být	v-w243f162_ZU	být-141
být	v-w243f163_ZU	být-142
být	v-w243f165_ZU	být-143
být	v-w243f157_ZU	být-143	substituted with v-w243f165_ZU
být	v-w243f158_ZU	být-143	substituted with v-w243f165_ZU
být	v-w243f164_ZU	být-143	substituted with v-w243f165_ZU
být	v-w243f166_ZU	být-144
být	v-w243f167_ZU	být-145
být	v-w243f168_ZU	být-146
být	v-w243f169_ZU	být-147
být	v-w243hsa_72	být-147	substituted with v-w243f169_ZU
být	v-w243f138_ZU	být-147	substituted with v-w243f169_ZU
být	v-w243f170_ZU	být-148
být	v-w243f172_ZU	být-066
být	v-w243f90_ZU	být-066	substituted with v-w243f172_ZU
být	v-w243f171_ZU	být-066	substituted with v-w243f172_ZU
být	v-w243f174_ZU	být-149
být	v-w243f175_ZU	být-150
být	v-w243f177_ZU	být-006
být	v-w243f7	být-006	substituted with v-w243f177_ZU
být	v-w243f180_ZU	být-151
být	v-w243f181_ZU	být-011
být	v-w243f2	být-011	substituted with v-w243f181_ZU
být	v-w243f173_ZU	být-011	substituted with v-w243f181_ZU
být	v-w243f176_ZU	být-011	substituted with v-w243f181_ZU
být	v-w243f178_ZU	být-011	substituted with v-w243f181_ZU
být	v-w243f182_ZU	být-152
být	v-w243f184_ZU	být-153
být	v-w243f183_ZU	být-153	substituted with v-w243f184_ZU
být	v-w243f185_MM	být-020
být	v-w243f3	být-020	substituted with v-w243f185_MM
být	v-w243f124_ZU	být-020	substituted with v-w243f185_MM
být	v-w243f187_MM	být-007
být	v-w243f1	být-007	substituted with v-w243f187_MM
být	v-w243f56_ZU	být-007	substituted with v-w243f187_MM
být	v-w243f80_ZU	být-007	substituted with v-w243f187_MM
být	v-w243f179_ZU	být-007	substituted with v-w243f187_MM
být	v-w243f186_MM	být-007	substituted with v-w243f187_MM
být	v-w243f188_MM	být-154
být	v-w243f189_MM	být-155
být	v-w243f190_MM	být-156
být	v-w243f191_MM	být-157
být	v-w243f192_MM	být-158
být	v-w243f193_MM	být-159
být	v-w243f194_MM	být-160
být si	v-whsa_1156hsa_1157	být si-001	obsolete
bývat	v-w245f1	bývat-014
bývat	v-w245f2	bývat-015
bývat	v-w245f3	bývat-002
bývat	v-w245f4	bývat-008
bývat	v-w245f5	bývat-018
bývat	v-w245f6	bývat-005
bývat	v-w245f7	bývat-011
bývat	v-w245f8	bývat-006
bývat	v-w245f9	bývat-007
bývat	v-w245f10	bývat-016
bývat	v-w245f11	bývat-012
bývat	v-w245f12	bývat-009
bývat	v-w245f13	bývat-010
bývat	v-w245f14	bývat-019
bývat	v-w245f15	bývat-003
bývat	v-w245f16	bývat-021
bývat	v-w245f17	bývat-022
bývat	v-w245f18	bývat-023
bývat	v-w245f19	bývat-017
bývat	v-w245f20	bývat-001
bývat	v-w245f21	bývat-020
bývat	v-w245f22	bývat-013
bývat	v-w245f23	bývat-024
bývat	v-w245f24	bývat-004
bývávat	v-w246f1	bývávat-001
bývávat	v-w246f2_ZU	bývávat-002
bývávat	v-w246hsa_1226	bývávat-002	substituted with v-w246f2_ZU
bědovat	v-w133hsa_358	bědovat-001
bědovat	v-w133f1	bědovat-001	substituted with v-w133hsa_358
běhat	v-w136f1	běhat-004
běhat	v-w136f3	běhat-003
běhat	v-w136f4	běhat-001
běhat	v-w136f5_ZU	běhat-002
běhat	v-w136f2	běhat-002	substituted with v-w136f5_ZU
běhat	v-w136hsa_274	běhat-005
bělat se	v-whsa_1946hsa_1947	bělat se-001
běžet	v-w146f1	běžet-004
běžet	v-w146f2	běžet-001
běžet	v-w146f3	běžet-005
běžet	v-w146f5	běžet-008
běžet	v-w146f6	běžet-006
běžet	v-w146f7	běžet-002
běžet	v-w146f8_ZU	běžet-007
běžet	v-w146f9_ZU	běžet-003
běžet	v-w146f4	běžet-003	substituted with v-w146f9_ZU
běžet	v-w146hsa_413	běžet-009
běžkařit	v-w11959_ZUf1_ZU	běžkařit-001
běžkovat	v-whsa_372hsa_373	běžkovat-001
cachtat se	v-w11973_ZUf1_ZU	cachtat se-001
cedit	v-w247f1	cedit-001
cedit	v-w247f2_ZU	cedit-002
cejchovat	v-w248f1	cejchovat-002
cejchovat	v-w248f2	cejchovat-001
ceknout	v-w249f1	ceknout-001
celebrovat	v-w10992f2	celebrovat-001
cementovat	v-w250f1	cementovat-001
cenit	v-w252f1	cenit-002
cenit	v-w252f2	cenit-001
cenit si	v-w253f1	cenit si-001
cenit si	v-w253hsa_1304	cenit si-002
centralizovat	v-w257f1	centralizovat-001
centrovat	v-w258f1	centrovat-001
cenzurovat	v-w11192f2	cenzurovat-001
cestovat	v-w263f1	cestovat-001
charakterizovat	v-w1167f1	charakterizovat-001
chatovat	v-whsa_1601f1_ZU	chatovat-001
chatovat	v-whsa_1601hsa_1602	chatovat-001	substituted with v-whsa_1601f1_ZU
chcát	v-whsb_913hsa_914	chcát-001
chladit	v-w1172f1	chladit-001
chladnout	v-w1173f1	chladnout-001
chladnout	v-w1173f2	chladnout-002
chlastat	v-w12095_ZUf1_ZU	chlastat-001
chlubit se	v-w1177f1	chlubit se-001
chlácholit	v-w1174f1	chlácholit-001
chodit	v-w1179f4	chodit-003
chodit	v-w1179f6	chodit-001
chodit	v-w1179f7	chodit-004
chodit	v-w1179f9_ZU	chodit-009
chodit	v-w1179hsa_1320	chodit-009	substituted with v-w1179f9_ZU
chodit	v-w1179f10_ZU	chodit-010
chodit	v-w1179hsa_1321	chodit-010	substituted with v-w1179f10_ZU
chodit	v-w1179f11_ZU	chodit-011
chodit	v-w1179f13_ZU	chodit-002
chodit	v-w1179f8	chodit-002	substituted with v-w1179f13_ZU
chodit	v-w1179f16_ZU	chodit-007
chodit	v-w1179f2	chodit-007	substituted with v-w1179f16_ZU
chodit	v-w1179f15_ZU	chodit-007	substituted with v-w1179f16_ZU
chodit	v-w1179f17_ZU	chodit-012
chodit	v-w1179hsa_1117	chodit-012	substituted with v-w1179f17_ZU
chodit	v-w1179f18_ZU	chodit-008
chodit	v-w1179f3	chodit-008	substituted with v-w1179f18_ZU
chodit	v-w1179f20_ZU	chodit-013
chodit	v-w1179f21_ZU	chodit-005
chodit	v-w1179f5	chodit-005	substituted with v-w1179f21_ZU
chodit	v-w1179f19_ZU	chodit-005	substituted with v-w1179f21_ZU
chodit	v-w1179f25_ZU	chodit-014
chodit	v-w1179f14_ZU	chodit-014	substituted with v-w1179f25_ZU
chodit	v-w1179f24_ZU	chodit-014	substituted with v-w1179f25_ZU
chodit	v-w1179f26_ZU	chodit-015
chodit	v-w1179f27_ZU	chodit-006
chodit	v-w1179f1	chodit-006	substituted with v-w1179f27_ZU
chodit	v-w1179f12_ZU	chodit-006	substituted with v-w1179f27_ZU
chodit	v-w1179f23_ZU	chodit-006	substituted with v-w1179f27_ZU
chodit	v-w1179f29_ZU	chodit-016
chodit	v-w1179f22_ZU	chodit-016	substituted with v-w1179f29_ZU
chodit	v-w1179f28_ZU	chodit-016	substituted with v-w1179f29_ZU
chodívat	v-whsa_430hsa_431	chodívat-001
chodívat	v-whsa_430hsa_432	chodívat-002
chodívávat	v-whsa_319hsa_320	chodívávat-001
chopit se	v-w1180f1	chopit se-001
choulit se	v-whsa_1215hsa_1216	choulit se-001
chovat	v-w1184f1	chovat-001
chovat	v-w1184f3	chovat-005
chovat	v-w1184f4	chovat-002
chovat	v-w1184f5	chovat-003
chovat	v-w1184hsa_1046	chovat-004
chovat	v-w1184f2	chovat-004	substituted with v-w1184hsa_1046
chovat se	v-w1186f1	chovat se-001
chovávat	v-whsa_333hsa_334	chovávat-001
christianizovat	v-w1190f1	christianizovat-001
chrlit	v-w1191f1	chrlit-001
chránit	v-w1189f2_ZU	chránit-002
chránit	v-w1189hsa_722	chránit-002	substituted with v-w1189f2_ZU
chránit	v-w1189f3_ZU	chránit-001
chránit	v-w1189f1	chránit-001	substituted with v-w1189f3_ZU
chránit	v-w1189hsa_853	chránit-001	substituted with v-w1189f3_ZU
chrápat	v-w10703f2	chrápat-001
chtít	v-w1193f3_ZU	chtít-001
chtít	v-w1193f1	chtít-001	substituted with v-w1193f3_ZU
chtít	v-w1193hsa_1073	chtít-002
chtít	v-w1193f2	chtít-002	substituted with v-w1193hsa_1073
chudnout	v-w1194f1	chudnout-001
chutnat	v-w1197f1	chutnat-001
chutnat	v-w1197f3_ZU	chutnat-002
